source_id,designation,ra,dec,phot_g_mean_mag,parallax,bp_rp,ph_qual,j_m,h_m,ks_m
605003631779902080,08513372+1216336,132.8905124681873,12.276016021374913,13.867579,0.8177648960663202,0.77850914,AAA,12.882,12.615,12.502
605014485161527808,08504073+1217001,132.66959168169387,12.283271249147944,12.244244,0.7353285106112064,1.0125532,AAA,10.908,10.463,10.395
605018161653531904,08503351+1219402,132.63978921294228,12.327676584439214,11.464719,4.194875561542895,0.8020382,AAA,10.475,10.141,10.088
605054067579960960,08530768+1221146,133.28202983664423,12.35408692270879,13.119579,0.3390788464985462,1.1590328,AAA,11.614,11.067,10.99
605010263209376256,08520133+1221266,133.00552743719754,12.35740771496742,13.838723,0.7933952770018893,0.6682663,AAA,12.96,12.717,12.669
605058263763403392,08540898+1224245,133.53739389562682,12.406822806200168,11.891255,0.7187397903145326,1.2148008,AAA,10.323,9.789,9.651
605026549725388800,08511131+1227483,132.79708069090884,12.46345488391429,13.724224,2.5439944351312187,1.0370321,AAA,12.446,12.026,11.912
608019175562162816,08485167+1231385,132.21528609946242,12.527352624735002,13.913929,0.9275711170822608,0.76548576,AAA,12.969,12.703,12.629
608040100642827136,08491094+1233177,132.29560134569576,12.554884975702109,11.42042,2.1405528595688628,0.7756872,AAA,10.437,10.153,10.064
598640036435112576,08511018+1051561,132.7922637572931,10.865453410109096,13.962428,2.1748371748446798,1.0376225,AAA,12.66,12.249,12.133
598667146268665344,08512445+1057079,132.8518775078721,10.952181216205773,13.44933,0.7480906657441936,1.0913734,AAA,12.031,11.586,11.471
604678691733846784,08525643+1108073,133.23513448673302,11.135319723128369,12.01544,2.818596298755629,0.8421755,AAA,10.937,10.568,10.465
598853749712531456,08492019+1108503,132.3341762919637,11.147226637760248,11.501609,1.3023900005148026,0.6353378,AAA,10.699,10.472,10.402
598854372483142016,08493858+1111369,132.41071291540078,11.193476707991646,11.4041195,2.134832099253704,0.78991985,AAA,10.405,10.115,10.051
598690854488080128,08520205+1113378,133.0084800091323,11.226953333554947,9.325434,6.305478215748696,0.7041702,AAA,8.379,8.112,8.053
604696386999110400,08522376+1117482,133.09899463584668,11.296698000117589,13.772421,0.9679368270891052,0.718503,AAA,12.804,12.581,12.469
604642712792090112,08540767+1121035,133.53189558410125,11.35102881815328,12.839014,2.1178646549600675,0.77711964,AAA,11.859,11.603,11.54
604703495169898112,08523205+1128565,133.1335544880003,11.48216774956834,12.622208,2.810078657011493,0.8920584,AAA,11.469,11.096,11.033
604892031349972480,08515383+1131072,132.9742913211736,11.51867093995629,13.518902,0.5625550339079081,1.1184845,AAA,12.059,11.576,11.472
604704560321786368,08521473+1131073,133.06136403339744,11.518703625496729,12.675331,1.143756697211575,0.7033138,AAA,11.787,11.511,11.461
598899211941691648,08493284+1131501,132.38671463872672,11.53054825824739,11.244417,5.312092794969488,0.8536444,AAA,10.144,9.805,9.725
604895536043321472,08510184+1134011,132.7576728678032,11.5669753745288,13.889378,0.9124312559398698,0.974247,AAA,12.627,12.203,12.121
